|~名称|~加護|~職業|>|>|>|>|~基本パラメータ|CENTER:~種族|CENTER:~特攻|~装備|~ラ&br;ン&br;ク|~コ&br;ス&br;ト|>|CENTER:~パッシブスキル|CENTER:~リーダー&br;スキル|CENTER:~アシスト&br;スキル|~内政&br;スキル|~スタンス|~備考|h
|ムスペルセンチネル|火|ガーダー|130|50|80|10|7|男魔炎騎|神魔蟲器超|斧槍&br;鎧|D|19|万能抗体[100]&br;パリング[50]&br;防御布陣[30]&br;無形体躯[30]&br;|堅守体躯[50]&br;反撃倍加[15]&br;専守防衛&br;全域無効&br;|十字無効&br;回帰治癒[10]|堅守体躯[1]|軍事[3]|防備|R7-運&br;v1.04|
|コールガ|闇|ガーダー|130|41|75|22|10|女魔海騎|神魔獣海竜|斧槍&br;盾|B|21|反撃倍加[8]&br;防御布陣[35]&br;騎士活性[25]&br;前進防御&br;|範囲無効&br;神魔体躯[50]&br;専守防衛&br;異常耐性&br;|報復の牙[15]&br;背水の陣[40]|堅守体躯[1]|軍事[3]|防備|R7-運&br;v1.04|
|ガロード|風|デストロイヤー|85|13|10|6|4|男魔獣樹|樹|片手&br;鎧|S|1|側面攻撃[5]&br;パリング[20]&br;カブト割[25]&br;夜戦適応&br;|防御削減[8]&br;&br;&br;&br;|速度布陣[10]&br;樹霊活性[6]|速度布陣[10]|農業[12]|進撃|R1-獣&br;v1.04|
|コボルドボマー|火|デストロイヤー|100|45|13|23|12|女魔獣樹炎|器樹獣氷|射撃&br;装飾|S|5|遠隔攻撃&br;扇形攻撃&br;火炎砲弾[4]&br;城壁崩し[50]&br;|全力攻撃[35]&br;自爆結界[30]&br;トレハン[18]&br;炎霊活性[10]&br;|大火炎陣[8]&br;挑発行為|開幕砲弾[5]|工業[16]|進撃|R3-造&br;v1.04|
|グリプスフォーク|風|デストロイヤー|110|38|34|30|7|男魔獣飛|飛海蟲|斧槍&br;鎧|S|6|奇襲警戒[16]&br;奇襲戦法[16]&br;必殺増加[25]&br;カブト割[25]&br;|パリング[35]&br;速度布陣[12]&br;遠隔無効&br;十字攻撃&br;|特攻防御[30]&br;側面攻撃[25]|カブト割[1]|農業[8]|進撃|R3-造&br;v1.04|
|ゴブリンキング|火|デストロイヤー|110|36|48|12|10|男魔獣騎|人樹騎器|斧槍&br;盾|A|7|攻撃布陣[20]&br;必殺増加[25]&br;全力攻撃[50]&br;獣族支配[15]&br;|十字攻撃&br;反撃耐性[35]&br;特攻防御[30]&br;撃破金運[5]&br;|撃破金運[7]&br;カブト割[25]|防御指揮[1]|商業[16]|進撃|R3-歴&br;Lv3全↓&br;v1.04|
|オークデモリッシュ|土|デストロイヤー|115|61|19|16|6|男魔獣騎|女樹騎器|斧槍&br;鎧|A|7|奇襲警戒[16]&br;全力攻撃[70]&br;特攻防御[30]&br;カブト割[30]&br;|反撃耐性[50]&br;堅守体躯[20]&br;巨人狩り[15]&br;城壁崩し[50]&br;|狂戦士化[25]&br;集約攻撃|カブト割[1]|工業[12]|進撃|R3-凶&br;v1.04|
|ツインマーフォーク|水|デストロイヤー|105|53|36|20|13|男魔海|海器樹炎|斧槍&br;杖|A|8|大水流陣[5]&br;パリング[35]&br;イベイド[25]&br;十字攻撃&br;|確率追撃[100]&br;カブト割[25]&br;海洋活性[12]&br;戦意高揚[25]&br;|攻撃布陣[15]&br;知力布陣[15]|連携攻撃[5]|商業[12]|進撃|R4-賢&br;v1.04|
|リンクスソルジャー|土|デストロイヤー|110|60|34|34|6|女魔獣樹騎|獣蟲器騎竜|斧槍&br;鎧|S|9|致命必殺[60]&br;攻撃指揮[15]&br;側面攻撃[15]&br;反撃耐性[60]&br;|扇形攻撃&br;カブト割[40]&br;巨人狩り[20]&br;火事場力[40]&br;|乾坤一擲[50]&br;集約攻撃|カブト割[1]|軍事[3]|進撃|R4-英&br;v1.04|
|ギガースレイダー|土|デストロイヤー|125|74|46|28|5|女魔樹|獣樹蟲器|両手&br;斧槍|B|10|城壁崩し[100]&br;反撃耐性[25]&br;カブト割[30]&br;堅守体躯[35]&br;|全力攻撃[70]&br;扇形攻撃&br;巨人狩り[20]&br;勇猛果敢&br;|狂戦士化[25]&br;狂奔の牙[8]|全力攻撃[5]|軍事[3]|進撃|R4-英&br;v1.04|
|サイクロプス|火|デストロイヤー|125|71|30|1|2|男魔|人飛蟲樹|両手&br;斧槍|A|11|扇形攻撃&br;必殺増加[30]&br;堅守体躯[50]&br;城壁崩し[100]&br;|巨人狩り[30]&br;反撃耐性[20]&br;全力攻撃[100]&br;暴走攻撃[95]&br;|暴走攻撃[3]&br;カブト割[30]|城壁崩し[20]||進撃|R3-凶&br;v1.04|
|ノーザンマスケティア|火|デストロイヤー|115|60|24|24|8|女魔炎樹|樹飛獣器氷|斧槍&br;射撃|A|13|大火炎陣[15]&br;攻撃布陣[36]&br;必殺増加[20]&br;扇形攻撃&br;|カブト割[25]&br;堅守体躯[30]&br;側面攻撃[15]&br;反撃耐性[80]&br;|火炎砲弾[10]&br;解除攻撃|連携攻撃[5]|工業[12]|進撃|R5-革&br;v1.04|
|ギガースヴァンガード|火|デストロイヤー|125|83|61|12|9|男魔騎|神器騎|斧槍&br;鎧|C|15|必殺耐性[25]&br;必殺増加[25]&br;致命必殺[50]&br;堅守体躯[40]&br;|パリング[35]&br;全域攻撃&br;巨人狩り[30]&br;勇猛果敢&br;|狂戦士化[25]&br;狂奔の牙[8]|必殺増加[10]|軍事[3]|進撃|R6-帝&br;Lv4全↑&br;v1.04|
|ムスペルランダー|火|デストロイヤー|130|88|52|18|8|魔炎夜|魔神氷超|両手&br;盾|C|16|必殺増加[25]&br;十字攻撃&br;大火炎陣[16]&br;巨人狩り[50]&br;|炎霊支配[20]&br;堅守体躯[40]&br;異常耐性&br;全力攻撃[50]&br;|火炎砲弾[8]&br;攻撃指揮[15]|大術撃陣[5]||進撃|R6-帝&br;v1.04|
|アルビオン|土|デストロイヤー|125|100|68|36|7|男魔|飛魔神星|爪&br;装飾|C|18|勇猛果敢&br;カブト割[25]&br;乾坤一擲[35]&br;反撃耐性[90]&br;|異常耐性&br;必殺耐性[50]&br;堅守体躯[40]&br;全力攻撃[100]&br;|巨人狩り[30]&br;リカバリ[35]|全力攻撃[5]|商業[12]|進撃|R6-尾&br;v1.04|
|ベルソル|闇|デストロイヤー|130|115|85|15|16|男魔樹毒死超|魔神獣死|爪&br;道具|D|22|師団支配[24]&br;超毒気陣[10]&br;反撃倍加[12]&br;致命必殺[100]&br;|乾坤一擲[75]&br;必殺増加[50]&br;神魔体躯[50]&br;軍団攻撃[2]&br;|カブト割[35]&br;無効喰い[15]|開幕毒気[5]|魔術[20]|進撃|R8-冥&br;v1.04|
|マキシマムオーガ|火|デストロイヤー|130|120|72|40|10|男人魔炎|竜魔神獣|爪&br;装飾|C|23|狂奔の牙[15]&br;集約攻撃&br;防御削減[20]&br;カブト割[50]&br;|竜鱗守護[75]&br;堅守体躯[40]&br;反撃耐性[80]&br;必殺増加[25]&br;|狂戦士化[30]&br;乾坤一擲[25]|カブト割[1]||進撃|R7-運&br;v1.04|
|ブローゼハーダ|闇|デストロイヤー|125|100|35|35|10|女魔海器騎|神魔蟲樹器|両手&br;法衣|B|24|攻撃布陣[50]&br;致命必殺[50]&br;必殺増加[50]&br;側面攻撃[50]&br;|確率追撃[50]&br;堅守体躯[50]&br;巨人狩り[50]&br;カブト割[50]&br;|恐怖の瞳[50]&br;全力攻撃[50]|カブト割[1]|工業[16]|進撃|R7-刹&br;v1.04|
|ゴブリンガール|火|ヒーラー|85|4|4|16|8|女魔|樹|片手&br;道具|S|2|魔族活性[6]&br;致命必殺[15]&br;遠隔攻撃&br;グルメ魂[1]&br;|グルメ魂[2]&br;削減治療&br;&br;&br;|標的後逸&br;グルメ魂[3]|全体治癒[5]|医療[3]|防備|R1-邪&br;v1.04|
|コボルドエンジニア|土|ヒーラー|95|12|14|20|12|女魔獣樹|器|装飾&br;道具|S|4|城壁構築[75]&br;全体治癒[8]&br;遠隔攻撃&br;獣族活性[10]&br;|知力布陣[10]&br;戦術補助[50]&br;資源工面[20]&br;器兵支配[12]&br;|戦意高揚[50]&br;平等治癒[6]|城壁構築[20]|工業[16]|防備|R2-陸&br;v1.04|
|キャリアウーワン|土|ヒーラー|100|16|18|18|12|女魔獣樹||法衣&br;道具|S|5|獣族活性[12]&br;全体治癒[12]&br;遠隔攻撃&br;トレハン[12]&br;|撃破金運[5]&br;標的後逸&br;資源工面[50]&br;城壁構築[100]&br;|トレハン[8]&br;撃破金運[6]|城壁構築[20]|商業[16]|防備|R2-信&br;v1.04|
|コボルドシェフ|火|ヒーラー|95|23|16|28|9|女魔獣樹炎||杖&br;法衣|S|7|大火炎陣[8]&br;専守防衛&br;師団活性[15]&br;樹霊活性[10]&br;|対術結界[30]&br;戦意高揚[50]&br;行動増加[1]&br;グルメ魂[5]&br;|資源工面[40]&br;グルメ魂[6]|解毒治療|医療[3]|防備|R3-歴&br;v1.04|
|コボルドメシア|光|ヒーラー|105|24|36|24|18|女魔獣樹||杖&br;道具|A|10|戦意高揚[100]&br;戦術結界[35]&br;樹霊活性[20]&br;平等治癒[12]&br;|絶対治療&br;専守防衛&br;リバイブ[20]&br;トレハン[24]&br;|トレハン[6]&br;バリアー[6]|絶対治療|医療[3]|防備|R4-賢&br;v1.04|
|ノーザンドルイド|火|ヒーラー|115|25|30|26|14|女魔炎樹|獣氷|杖&br;法衣|A|12|大火炎陣[10]&br;聖戦の導[10]&br;平等治癒[10]&br;血の起源[10]&br;|専守防衛&br;対術結界[50]&br;堅守体躯[25]&br;絶対治療&br;|リバイブ[25]&br;終の奇跡[10]|バリアー[1]|医療[3]|防備|R5-使&br;v1.04|
|ウジャト|風|ヒーラー|110|43|52|46|20|女魔獣飛夜||杖&br;法衣|B|17|運命の輪[5]&br;リバイブ[25]&br;全体治癒[18]&br;解毒治療&br;|絶対治療&br;専守防衛&br;飛行支配[20]&br;トレハン[28]&br;|トレハン[6]&br;愚者の嘘[1]|リカバリ[5]|商業[20]|防備|R6-帝&br;Lv3蘇生&br;v1.04|
|ビルギア|闇|ヒーラー|120|48|24|36|21|女魔海樹騎|神夜|杖&br;法衣|B|19|範囲無効&br;終の奇跡[10]&br;軍団治癒[7]&br;血の起源[15]&br;|専守防衛&br;堅守体躯[40]&br;四法結界[30]&br;絶対治療&br;|戦術妨害[100]&br;行動阻害[2]|絶対治療|医療[3]|防備|R7-運&br;v1.04|
|BGCOLOR(#FDD):|||||||||||||||||||&br;|c
|闇アリクイ|闇|ブレイダー|90|14|9|10|2|魔獣毒夜|女蟲|鞭&br;獣装|S|1|多段攻撃[1]&br;蟲族弱体[8]&br;速度弱体[6]&br;防御削減[10]&br;|毒化攻撃[10]&br;側面攻撃[6]&br;特攻防御[25]&br;グルメ魂[1]&br;|蟲族弱体[6]&br;大毒気陣[4]|毒気放射[15]|農業[8]|進撃|R1-異&br;v1.04|
|スキュラ|水|ブレイダー|95|23|18|14|7|女魔獣蟲海夜|人男男海|鞭&br;法衣|S|3|攻撃削減[10]&br;確率追撃[65]&br;側面攻撃[10]&br;男性弱体[10]&br;|水流放射[5]&br;無形体躯[25]&br;麻痺攻撃[2]&br;速度弱体[8]&br;|魅了攻撃[1]&br;男性弱体[10]|側面攻撃[5]|商業[12]|進撃|R1-異&br;v1.04|
|マンティコア|火|ブレイダー|110|36|30|30|10|魔獣飛毒炎夜|人獣樹蟲|爪&br;獣装|S|5|火炎放射[12]&br;多段攻撃[2]&br;毒化攻撃[8]&br;必殺増加[20]&br;|城壁崩し[50]&br;堅守体躯[25]&br;対術結界[20]&br;狂奔の牙[5]&br;|大毒気陣[4]&br;炎霊活性[12]|致命必殺[15]|魔術[12]|進撃|R2-空&br;v1.04|
|ケルコロン|火|ブレイダー|105|34|28|34|7|魔獣炎夜|人獣神|爪&br;獣装|S|5|必殺増加[15]&br;扇形攻撃&br;側面攻撃[8]&br;大火炎陣[4]&br;|致命必殺[35]&br;堅守体躯[15]&br;反撃耐性[50]&br;多段攻撃[1]&br;|魅了攻撃[2]&br;終の奇跡[15]|致命必殺[15]|商業[12]|進撃|R2-陸&br;v1.04|
|スカーレットラビット|水|ブレイダー|100|32|16|30|1|獣樹氷星|人樹器|爪&br;獣装|S|7|氷撃放射[10]&br;凍傷気流[10]&br;必殺増加[15]&br;致命必殺[50]&br;|イベイド[25]&br;矮小体躯[25]&br;麻痺攻撃[2]&br;氷霊活性[8]&br;|貫通攻撃&br;狂戦士化[25]|連携攻撃[5]||進撃|R4-骸&br;v1.04|
|オブシダンタイガー|火|ブレイダー|115|53|64|38|8|魔獣器|人樹蟲毒夜|爪&br;獣装|A|12|致命必殺[55]&br;確率追撃[100]&br;側面攻撃[12]&br;必殺増加[25]&br;|反撃耐性[60]&br;特攻防御[45]&br;武具研磨[50]&br;砲撃反射[50]&br;|対術反射[50]&br;狂奔の牙[12]|必殺増加[10]|工業[16]|進撃|R5-革&br;v1.04|
|ラードーン|火|ブレイダー|125|93|70|26|10|魔竜獣|獣氷樹海飛|爪&br;獣装|C|17|致命必殺[50]&br;確率追撃[100]&br;多段攻撃[2]&br;竜鱗守護[65]&br;|堅守体躯[40]&br;竜の吐息[8]&br;側面攻撃[10]&br;攻撃布陣[20]&br;|必殺増加[35]&br;火炎砲弾[12]|確率追撃[10]||進撃|R6-帝&br;v1.04|
|ラミア|水|ランサー|95|26|24|18|10|女魔獣海夜|人男夜|鞭&br;法衣|S|4|魔術放射[10]&br;側面攻撃[4]&br;男性活性[12]&br;男性弱体[12]&br;|魅了攻撃[1]&br;貫通攻撃&br;自爆結界[15]&br;吸血攻撃[15]&br;|確率追撃[50]&br;師団弱体[10]|術撃放射[15]|魔術[12]|乱戦|R2-海&br;v1.04|
|ケルベロス|火|ランサー|115|51|32|42|3|魔獣炎夜|人獣海神|爪&br;獣装|A|7|必殺増加[20]&br;扇形攻撃&br;側面攻撃[10]&br;大火炎陣[6]&br;|致命必殺[50]&br;堅守体躯[30]&br;炎霊活性[12]&br;確率追撃[50]&br;|吸血攻撃[10]&br;狂奔の牙[8]|致命必殺[15]||乱戦|R3-巨&br;v1.04|
|シグムンド|風|ランサー|115|56|38|54|10|魔獣樹夜|死魔獣夜|爪&br;獣装|A|8|必殺増加[25]&br;リカバリ[40]&br;十字攻撃&br;多段攻撃[2]&br;|イベイド[65]&br;堅守体躯[25]&br;死者弱体[25]&br;異常耐性&br;|狂戦士化[25]&br;狂奔の牙[14]|必殺増加[10]|軍事[3]|乱戦|R3-歴&br;v1.04|
|スカーレットウルフ|水|ランサー|105|45|24|32|1|獣樹氷星|人魔獣|爪&br;獣装|S|8|吸血攻撃[10]&br;攻撃布陣[20]&br;側面攻撃[8]&br;確率追撃[50]&br;|多段攻撃[1]&br;パリング[35]&br;必殺耐性[15]&br;報復の牙[10]&br;|必殺増加[25]&br;狂戦士化[25]|側面攻撃[5]||乱戦|R4-骸&br;v1.04|
|タイラントイール|水|ランサー|120|70|47|23|4|魔獣海雷|雷獣海|爪&br;獣装|B|12|必殺増加[25]&br;強制異常[10]&br;全域攻撃&br;大雷撃陣[12]&br;|堅守体躯[35]&br;麻痺攻撃[2]&br;反撃耐性[40]&br;海洋支配[10]&br;|雷撃砲弾[8]&br;雷霊活性[12]|開幕砲弾[5]|商業[8]|乱戦|R5-王&br;v1.04|
|セルケト|土|ランサー|115|76|57|38|12|女神獣蟲毒|男女飛樹蟲|両手&br;装飾|C|17|超強酸陣[6]&br;死者支配[20]&br;側面攻撃[25]&br;十字攻撃&br;|強制異常[15]&br;虹の毒撃[15]&br;毒性支配[20]&br;確率追撃[80]&br;|運命改変[20]&br;腐敗の繭[20]|必殺増加[10]|魔術[12]|乱戦|R6-帝&br;v1.04|
|ダンタリオン|闇|ランサー|150|112|80|6|10|死神飛毒夜超|人竜死神|鞭&br;獣装|C|21|毒性活性[30]&br;虹の毒撃[30]&br;全域攻撃&br;多段攻撃[2]&br;|対術障壁[100]&br;大毒気陣[12]&br;堅守体躯[45]&br;異常耐性&br;|毒気砲弾[10]&br;師団弱体[20]|開幕毒気[5]|魔術[12]|乱戦|R7-破&br;v1.04|
|ヒルディス|土|ランサー|150|120|108|16|7|魔獣毒夜超|魔獣樹竜|爪&br;獣装|D|23|巨人狩り[80]&br;必殺増加[35]&br;全域攻撃&br;異常耐性&br;|大毒気陣[15]&br;堅守体躯[50]&br;樹霊弱体[50]&br;暴走攻撃[90]&br;|暴走攻撃[10]&br;狂戦士化[25]|開幕毒気[5]||乱戦|R7-破&br;v1.04|
|テスカトリポカ|土|ランサー|150|125|86|75|12|神魔獣星毒超|神獣樹海竜|爪&br;装飾|D|26|獣族支配[40]&br;十字攻撃&br;巨人狩り[100]&br;側面攻撃[25]&br;|毒気砲弾[12]&br;堅守体躯[65]&br;確率追撃[75]&br;必殺増加[20]&br;|無効喰い[25]&br;運命改変[25]|カブト割[1]|魔術[12]|乱戦|R8-創&br;v1.04|
|チックガルダ|風|シューター|95|20|10|32|4|魔獣飛|蟲|爪&br;装飾|S|3|遠隔攻撃&br;標的後逸&br;師団弱体[6]&br;女性活性[6]&br;|炎霊活性[6]&br;&br;&br;&br;|蟲族弱体[6]&br;リバイブ[5]|麻痺治療|農業[12]|計略|R2-陸&br;v1.04|
|コカトリス|土|シューター|100|29|16|26|4|魔獣飛毒夜|獣樹毒蟲|爪&br;獣装|S|4|側面攻撃[4]&br;麻痺攻撃[2]&br;封印攻撃&br;異常耐性&br;|毒化攻撃[12]&br;堅守体躯[20]&br;恐怖の瞳[20]&br;全力攻撃&br;|兵士運搬&br;大毒気陣[5]|毒気放射[15]|農業[8]|計略|R2-空&br;v1.04|
|グリフォン|風|シューター|105|38|22|48|5|魔獣飛夜|獣飛蟲|爪&br;獣装|S|5|遠隔攻撃&br;多段攻撃[1]&br;イベイド[60]&br;奇襲戦法[15]&br;|城壁崩し[50]&br;堅守体躯[20]&br;速度布陣[15]&br;兵士運搬&br;|側面攻撃[12]&br;飛行活性[8]|速度布陣[10]|農業[12]|計略|R2-空&br;v1.04|
|カトブレパス|土|シューター|115|61|39|21|6|魔獣毒夜|人獣毒樹|爪&br;獣装|A|9|毒性活性[10]&br;恐怖の瞳[30]&br;遠隔攻撃&br;扇形攻撃&br;|虹の毒撃[7]&br;堅守体躯[25]&br;封印攻撃&br;追撃阻止[25]&br;|強制異常[15]&br;大毒気陣[8]|大毒気陣[5]|魔術[16]|計略|R3-凶&br;v1.04|
|スカーレットコアトル|水|シューター|110|60|27|50|4|竜飛氷星|人飛海樹|爪&br;獣装|S|12|竜の吐息[6]&br;遠隔攻撃&br;多段攻撃[1]&br;麻痺攻撃[2]&br;|異常耐性&br;側面攻撃[15]&br;速度布陣[20]&br;兵士運搬&br;|強制異常[25]&br;大毒気陣[10]|イベイド[10]||計略|R4-骸&br;v1.04|
|サンダーバード|光|シューター|120|72|35|64|8|魔獣雷飛星|飛器海|爪&br;獣装|B|13|大雷撃陣[10]&br;麻痺攻撃[2]&br;全域攻撃&br;心核穿ち[25]&br;|遠隔攻撃&br;堅守体躯[35]&br;イベイド[70]&br;雷霊活性[20]&br;|雷撃砲弾[5]&br;超雷撃陣[8]|大術撃陣[5]|魔術[12]|計略|R5-使&br;v1.04|
|シムルグ|風|シューター|150|106|64|78|10|魔獣雷飛|樹蟲飛海|爪&br;獣装|D|23|乾坤一擲[20]&br;次元斬撃[15]&br;虹の毒撃[20]&br;多段攻撃[2]&br;|堅守体躯[40]&br;超雷撃陣[8]&br;イベイド[90]&br;十字攻撃&br;|雷霊指揮[20]&br;恐怖の瞳[40]|イベイド[10]|農業[8]|計略|R7-破&br;v1.04|
|まりもラット|水|キャスター|85|2|7|4|6|魔獣海樹|毒蟲|鞭&br;装飾|S|1|水流放射[6]&br;専守防衛&br;海洋活性[4]&br;麻痺治療&br;|解毒治療&br;致命必殺[50]&br;&br;&br;|狂戦士化[200]&br;遠隔攻撃|解毒治療|商業[16]|計略|R1-異&br;v1.04|
|イビルアイ|闇|キャスター|90|21|9|28|12|魔飛夜|男女|鞭&br;道具|S|4|挑発行為&br;麻痺攻撃[2]&br;遠隔攻撃&br;恐怖の瞳[40]&br;|追撃阻止[30]&br;対術結界[35]&br;日中赦免&br;師団弱体[10]&br;|愚者の嘘[1]&br;側面無効|砲撃結界[10]|魔術[16]|計略|R2-苦&br;v1.04|
|アイスペンギン|水|キャスター|95|30|12|16|14|魔獣海氷|炎海|杖&br;道具|S|5|扇形攻撃&br;凍傷気流[10]&br;凍結攻撃[25]&br;遠隔攻撃&br;|氷撃放射[15]&br;海洋活性[8]&br;氷霊指揮[8]&br;師団弱体[8]&br;|氷撃砲弾[5]&br;対術反射[35]|術撃放射[15]|魔術[16]|計略|R2-幻&br;v1.04|
|スカーレットジェリー|水|キャスター|95|18|16|4|10|海氷飛星|炎蟲|獣装&br;装飾|S|7|氷撃砲弾[5]&br;全体治癒[10]&br;リカバリ[25]&br;大氷撃陣[8]&br;|専守防衛&br;無形体躯[30]&br;対術結界[35]&br;標的後逸&br;|追撃阻止[50]&br;絶対治療|リカバリ[5]||計略|R4-骸&br;v1.04|
|大酒虫|火|キャスター|120|54|48|8|5|魔獣海毒|男女毒|爪&br;獣装|B|10|大毒気陣[12]&br;解毒治療&br;グルメ魂[5]&br;致命必殺[50]&br;|師団弱体[12]&br;堅守体躯[40]&br;追撃阻止[25]&br;毒化攻撃[12]&br;|暴走攻撃[90]&br;全域攻撃|大毒気陣[5]|商業[20]|計略|R4-命&br;v1.04|
|サタナスアイ|闇|キャスター|110|63|24|43|16|魔飛毒夜|男女|鞭&br;装飾|B|13|挑発行為&br;封印攻撃&br;遠隔攻撃&br;恐怖の瞳[50]&br;|大魔術陣[15]&br;四法結界[20]&br;夜戦赦免&br;師団弱体[20]&br;|愚者の嘘[2]&br;遠隔無効|バリアー[1]|魔術[16]|計略|R5-鬼&br;v1.04|
|アイアンタートル|水|ガーダー|100|15|34|2|5|魔獣海|蟲|盾&br;獣装|S|4|反撃倍加[2]&br;貫通無効&br;防御布陣[8]&br;堅守体躯[15]&br;|パリング[30]&br;専守防衛&br;必殺耐性[20]&br;&br;|ブロック[20]&br;海洋活性[6]|防御布陣[10]|商業[8]|防備|R2-海&br;v1.04|
|スパイクビースト|土|ガーダー|105|32|38|26|5|魔獣|獣樹蟲|爪&br;獣装|A|6|専守防衛&br;防御布陣[6]&br;反撃倍加[5]&br;パリング[25]&br;|前進防御&br;堅守体躯[15]&br;特攻防御[40]&br;&br;|狂奔の牙[10]&br;報復の牙[10]|パリング[10]|軍事[3]|防備|R3-巨&br;v1.04|
|アルマジュエル|闇|ガーダー|115|21|58|4|6|女魔獣器|器樹蟲夜|爪&br;獣装|S|6|夜戦適応&br;防御布陣[14]&br;専守防衛&br;ブロック[30]&br;|十字無効&br;堅守体躯[25]&br;異常耐性&br;特攻防御[50]&br;|撃破金運[7]&br;対術反射[30]|特攻防御[5]|工業[16]|防備|R3-歴&br;v1.04|
|スフィンクス|風|ガーダー|110|24|50|18|18|女魔獣飛|人男女|鞭&br;鎧|A|7|大魔術陣[6]&br;知力支配[10]&br;専守防衛&br;防御布陣[16]&br;|封印攻撃&br;イベイド[50]&br;堅守体躯[25]&br;異常耐性&br;|師団弱体[12]&br;愚者の嘘[1]|イベイド[10]|魔術[16]|防備|R3-歴&br;v1.04|
|ジュエルビースト|光|ガーダー|110|20|54|4|12|魔獣器海|人夜|盾&br;獣装|A|8|撃破金運[5]&br;撃破金運[6]&br;防御布陣[15]&br;扇形無効&br;|トレハン[22]&br;特攻防御[40]&br;堅守体躯[20]&br;専守防衛&br;|貫通無効&br;撃破金運[7]|バリアー[1]|商業[24]|防備|R4-賢&br;v1.04|
|スカーレットベア|水|ガーダー|115|36|52|9|4|獣氷星|人獣蟲竜|爪&br;獣装|S|10|獣族活性[20]&br;大氷撃陣[8]&br;反撃倍加[5]&br;防御布陣[20]&br;|専守防衛&br;堅守体躯[25]&br;前進防御&br;十字無効&br;|ブロック[25]&br;致命必殺[40]|堅守体躯[1]||防備|R4-骸&br;v1.04|
|ノーザンワルラス|水|ガーダー|125|45|75|14|5|魔獣海氷|炎海獣|爪&br;獣装|B|12|凍結攻撃[50]&br;専守防衛&br;防御布陣[20]&br;大氷撃陣[15]&br;|必殺耐性[60]&br;堅守体躯[40]&br;貫通無効&br;側面無効&br;|前進防御&br;解除攻撃|堅守体躯[1]|商業[16]|防備|R5-王&br;v1.04|
|ウォーマンモス|土|ガーダー|130|48|85|8|6|獣氷騎超|器樹蟲超|獣装&br;装飾|A|13|大火炎陣[10]&br;ブロック[35]&br;防御布陣[35]&br;前進防御&br;|専守防衛&br;堅守体躯[40]&br;兵士運搬&br;騎士活性[16]&br;|反撃倍加[3]&br;戦意高揚[50]|堅守体躯[1]|農業[12]|防備|R6-尾&br;v1.04|
|アンフィスバエナ|闇|ガーダー|120|63|78|16|10|魔獣毒|獣樹蟲|爪&br;獣装|B|14|反撃倍加[6]&br;専守防衛&br;前進防御&br;防御布陣[16]&br;|堅守体躯[40]&br;虹の毒撃[12]&br;吸血攻撃[10]&br;大毒気陣[6]&br;|毒性活性[20]&br;十字無効|大毒気陣[5]||防備|R5-鬼&br;v1.04|
